id,name,host+AF8-id,host+AF8-name,neighbourhood+AF8-group,neighbourhood,latitude,longitude,room+AF8-type,price,minimum+AF8-nights,number+AF8-of+AF8-reviews,last+AF8-review,reviews+AF8-per+AF8-month,calculated+AF8-host+AF8-listings+AF8-count,availability+AF8-365
5865654,Sunny 2 room apartment in Amsterdam,30457837,David,,Oud+AC0-Noord,52.3826414165,4.9148735159,Entire home/apt,100,3,21,2018+AC0-11+AC0-04,0.5,1,35
5869943,Cozy apartment in Amsterdam,9124634,Anna,,Oostelijk Havengebied +AC0- Indische Buurt,52.3598390276,4.9368060912,Entire home/apt,75,3,18,2018+AC0-05+AC0-13,0.47,1,0
5870563,Artsy House in Red Light District,30481836,Nathan,,Centrum+AC0-West,52.3735501758,4.8968198576,Entire home/apt,349,2,56,2018+AC0-10+AC0-23,1.27,1,25
5872804,Nice Apartment with amazing view,9545996,Dominique,,IJburg +AC0- Zeeburgereiland,52.3520828939,5.0032628708,Entire home/apt,70,5,1,2015+AC0-06+AC0-12,0.02,1,0
5875754,Nice and cozy apartment near Amsterdam city centre,30513115,Rob,,Watergraafsmeer,52.3392987771,4.919579898,Entire home/apt,100,3,29,2018+AC0-09+AC0-30,1.09,1,96
5875932,Nice place to saty+ADs- to enjoy+ACE- :),15917368,Xinmo,,Bijlmer+AC0-Centrum,52.3176374509,4.9453413728,Private room,52,1,42,2018+AC0-09+AC0-18,1.42,2,0
5875934,A simple room you can dream it+ACE-,15917368,Xinmo,,Bijlmer+AC0-Centrum,52.3247353933,4.9468113325,Private room,39,1,40,2016+AC0-08+AC0-12,0.9,2,0
5877192,120m2 +AC0- Luxury house City Center,16894912,Elif,,Westerpark,52.391026877,4.8809012507,Entire home/apt,200,1,28,2018+AC0-08+AC0-27,0.64,1,235
5877715,Amsterdam,30521998,Uli,,Noord+AC0-Oost,52.3966093329,4.9407318311,Entire home/apt,97,2,14,2018+AC0-10+AC0-20,0.31,1,68
5879421,Stylish +ACY- bright +AEA-The PIJP: Perfect for exploring+ACE-,11892353,Heleen,,De Pijp +AC0- Rivierenbuurt,52.3550057782,4.8938936422,Entire home/apt,125,3,32,2018+AC0-09+AC0-15,0.72,1,0
5881435,Canal View,7844122,Dick,,Centrum+AC0-West,52.3744175009,4.8776944416,Entire home/apt,450,3,17,2018+AC0-10+AC0-28,0.39,2,358
5881871,Amsterdam Studio Apartement,27081923,Remco,,Watergraafsmeer,52.3388802534,4.921440519,Entire home/apt,100,4,44,2018+AC0-05+AC0-21,1,1,280
5882457,Cosy place for 2 near Dappermarket,30546845,Pieter,,Oud+AC0-Oost,52.3627445286,4.9243799884,Entire home/apt,106,3,83,2018+AC0-09+AC0-24,1.89,1,0
5883586,Double room in appartment in Amsterdam,18919409,Lisa,,De Pijp +AC0- Rivierenbuurt,52.3445930687,4.9060540367,Private room,65,2,7,2017+AC0-01+AC0-08,0.2,1,0
5887152,Top Studio+ADs- 20 min from the center+ACE-,21883308,Nabila,,De Aker +AC0- Nieuw Sloten,52.3460926109,4.7944462974,Private room,85,2,210,2018+AC0-11+AC0-11,4.77,1,336
5892161,Bright apartment with 2 bikes,21035710,Tom,,De Baarsjes +AC0- Oud+AC0-West,52.3588824558,4.8559486842,Entire home/apt,150,4,23,2018+AC0-05+AC0-04,0.53,1,7
5897261,Your double apartment on wheels,3040748,Henk,,Noord+AC0-Oost,52.4112137299,4.947321392,Private room,72,2,102,2018+AC0-10+AC0-26,2.32,10,212
5897414,Cozy apartment near centre,5564925,Olga,,Westerpark,52.3794428335,4.870260527,Entire home/apt,90,1,6,2017+AC0-06+AC0-05,0.14,1,0
5898034,Amazing Penthouse +AC0- Rooftop terrace,30632203,Jukka,,De Baarsjes +AC0- Oud+AC0-West,52.3717010745,4.8590182957,Entire home/apt,270,5,35,2018+AC0-04+AC0-23,0.79,1,64
5899241,Feel+AEA-home+ADs- 3 bdr and sunny garden,19732607,Nienke +ACY- Jacco,,Oud+AC0-Oost,52.357105003,4.9194224057,Entire home/apt,220,2,26,2018+AC0-08+AC0-21,0.59,1,162
5902525,Ground floor appartment Vondelpark,3352757,Thomas,,De Baarsjes +AC0- Oud+AC0-West,52.3585659337,4.8597111048,Entire home/apt,159,3,33,2018+AC0-10+AC0-23,0.76,1,55
5906728,Cosy apartment in dazzling Oud West,871411,Merle,,De Baarsjes +AC0- Oud+AC0-West,52.3629722838,4.8612030867,Entire home/apt,130,3,68,2018+AC0-11+AC0-09,1.55,1,0
5906942,Great location family home in almost city Centre+ACE-,2135841,Sanna,,Westerpark,52.3883164775,4.8791423307,Entire home/apt,200,2,26,2018+AC0-09+AC0-29,0.87,1,0
5909236,Perfect positioned apartment,30690147,Frans,,Centrum+AC0-Oost,52.3699313785,4.9303528103,Entire home/apt,139,5,7,2017+AC0-08+AC0-05,0.18,1,0
5909332,Modern loft on the inner Canal,5982717,Sebo,,Centrum+AC0-West,52.3784398347,4.8925819531,Entire home/apt,150,4,7,2018+AC0-08+AC0-27,0.16,1,0
5910008,Lovely Nest: Westerpark +AC0- Jordaan,2850389,Mia,,Westerpark,52.3791908139,4.8700682453,Private room,80,2,3,2015+AC0-06+AC0-14,0.07,1,0
5910574,Duplex appartment with roof terrace,7976658,Maud,,De Pijp +AC0- Rivierenbuurt,52.3515117061,4.8960574699,Entire home/apt,180,2,36,2018+AC0-03+AC0-05,0.83,1,0
5911915,Light design apartment in hip area,11620521,Claudia,,De Baarsjes +AC0- Oud+AC0-West,52.3709685398,4.8475494823,Entire home/apt,98,3,23,2018+AC0-11+AC0-26,0.54,1,0
5916679,Tussen het park en de markt in+ACE-,5045850,Ruth,,Oud+AC0-Oost,52.3606404439,4.9268685699,Entire home/apt,110,3,6,2018+AC0-08+AC0-10,0.15,1,0
5917139,Very central sunny spacious canal area apartment,15122071,Wouter,,Centrum+AC0-West,52.3852905321,4.8885617934,Entire home/apt,149,2,17,2018+AC0-11+AC0-05,0.42,1,0
5918331,Beautiful apartment in the Jordaan,24420814,Lotje,,Centrum+AC0-West,52.3733806794,4.8797528877,Entire home/apt,130,3,44,2018+AC0-10+AC0-22,1.02,1,22
5921275,Spacious +ACY- light+ADs- big roof terrace+ACE-,9904657,Beatrijs +ACY- Floris,,Oostelijk Havengebied +AC0- Indische Buurt,52.3646604958,4.9357300948,Entire home/apt,139,40,18,2018+AC0-07+AC0-28,0.41,1,0
5921341,Amsterdam Luxury Flat +AC0- Vondelpark,1687335,Aim+//0Aw//9AKk-e,,Zuid,52.3551278021,4.8685746288,Shared room,75,1,2,2017+AC0-04+AC0-29,0.07,1,0
5922528,Appartment+ADs- canal view,30755302,Marianna,,De Baarsjes +AC0- Oud+AC0-West,52.3723266183,4.872993163,Entire home/apt,140,2,6,2016+AC0-10+AC0-24,0.15,1,280
5922703,Nice room in vibrant Indische buurt,12578732,Tamara,,Oostelijk Havengebied +AC0- Indische Buurt,52.3598499439,4.9357885221,Private room,100,2,77,2018+AC0-10+AC0-14,1.73,2,13
5923681,2 bedroom canal view appartment,19575248,Adriaan,,De Baarsjes +AC0- Oud+AC0-West,52.3664182491,4.8760719007,Entire home/apt,199,3,31,2018+AC0-03+AC0-06,0.72,1,23
5923845,2floor apartment 'de Pijp' COMPANY SPECIALS,12137415,Barry,,De Pijp +AC0- Rivierenbuurt,52.3553115103,4.9023742323,Entire home/apt,475,20,11,2018+AC0-09+AC0-08,0.55,1,144
5925158,9 Streets City Centre Apartment/ Guesthouse,29403408,Denise,,Centrum+AC0-West,52.3697695688,4.8864166937,Private room,180,1,243,2017+AC0-09+AC0-03,5.54,1,11
